go .	va !
don't shoot .	ne tire pas !
don't shoot .	ne tirez pas !
don't shout .	ne crie pas .
don't smile .	ne souris pas .
don't smile .	ne souriez pas .
don't smoke .	ne fumez pas .
don't speak .	ne parle pas .
don't worry .	t'inquiète pas .
don't worry .	t'inquiète .
don't worry .	ne t'en fais pas .
don't worry .	ne vous en faites pas .
don't worry .	ne vous inquiétez pas .
finish this .	finis ça .
finish this .	finissez ceci .
flip a coin .	lance une pièce !
forgive tom .	pardonne tom .
get dressed .	habille-toi .
get dressed .	habillez-vous .
get serious .	sois sérieux .
get the box .	prends la boîte .
get the box .	prenez la boîte .
go have fun .	amuse-toi bien .
go have fun .	vas-y , amuse-toi .
go home now .	va chez toi , maintenant .
go home now .	va chez nous , maintenant .
